================ Training Loss (Mon Oct 10 00:28:32 2022) ================
(epoch: 138, iters: 12, time: 0.167, data: 0.074) G_GAN: 0.552 D_real: 0.075 D_fake: 0.235 G: 0.757 HDCE: 0.156 HDCE_Y: 0.215 SRC: 0.019 
(epoch: 142, iters: 16, time: 0.167, data: 0.084) G_GAN: 0.417 D_real: 0.200 D_fake: 0.122 G: 0.613 HDCE: 0.179 HDCE_Y: 0.157 SRC: 0.028 
(epoch: 146, iters: 20, time: 0.167, data: 0.120) G_GAN: 0.309 D_real: 0.461 D_fake: 0.165 G: 0.477 HDCE: 0.165 HDCE_Y: 0.139 SRC: 0.016 
(epoch: 150, iters: 24, time: 0.167, data: 0.079) G_GAN: 0.296 D_real: 0.326 D_fake: 0.189 G: 0.525 HDCE: 0.215 HDCE_Y: 0.156 SRC: 0.043 
(epoch: 155, iters: 4, time: 0.167, data: 0.066) G_GAN: 0.373 D_real: 0.221 D_fake: 0.200 G: 0.546 HDCE: 0.157 HDCE_Y: 0.156 SRC: 0.017 
(epoch: 159, iters: 8, time: 0.167, data: 0.077) G_GAN: 0.404 D_real: 0.205 D_fake: 0.226 G: 0.607 HDCE: 0.198 HDCE_Y: 0.172 SRC: 0.018 
(epoch: 163, iters: 12, time: 0.167, data: 0.077) G_GAN: 0.450 D_real: 0.087 D_fake: 0.482 G: 0.655 HDCE: 0.212 HDCE_Y: 0.144 SRC: 0.027 
(epoch: 167, iters: 16, time: 0.167, data: 0.083) G_GAN: 0.409 D_real: 0.317 D_fake: 0.246 G: 0.573 HDCE: 0.162 HDCE_Y: 0.139 SRC: 0.014 
(epoch: 171, iters: 20, time: 0.167, data: 0.077) G_GAN: 0.468 D_real: 0.159 D_fake: 0.188 G: 0.682 HDCE: 0.176 HDCE_Y: 0.197 SRC: 0.027 
(epoch: 175, iters: 24, time: 0.167, data: 0.065) G_GAN: 0.431 D_real: 0.087 D_fake: 0.274 G: 0.642 HDCE: 0.168 HDCE_Y: 0.200 SRC: 0.027 
(epoch: 180, iters: 4, time: 0.167, data: 0.115) G_GAN: 0.274 D_real: 0.237 D_fake: 0.397 G: 0.501 HDCE: 0.214 HDCE_Y: 0.166 SRC: 0.036 
(epoch: 184, iters: 8, time: 0.167, data: 0.069) G_GAN: 0.563 D_real: 0.220 D_fake: 0.071 G: 0.760 HDCE: 0.173 HDCE_Y: 0.187 SRC: 0.017 
(epoch: 188, iters: 12, time: 0.167, data: 0.122) G_GAN: 0.289 D_real: 0.236 D_fake: 0.233 G: 0.475 HDCE: 0.157 HDCE_Y: 0.153 SRC: 0.031 
(epoch: 192, iters: 16, time: 0.167, data: 0.122) G_GAN: 0.349 D_real: 0.488 D_fake: 0.040 G: 0.610 HDCE: 0.223 HDCE_Y: 0.230 SRC: 0.035 
(epoch: 196, iters: 20, time: 0.167, data: 0.067) G_GAN: 0.538 D_real: 0.035 D_fake: 0.717 G: 0.786 HDCE: 0.202 HDCE_Y: 0.235 SRC: 0.030 
(epoch: 200, iters: 24, time: 0.167, data: 0.079) G_GAN: 0.352 D_real: 0.217 D_fake: 0.191 G: 0.544 HDCE: 0.176 HDCE_Y: 0.174 SRC: 0.017 
(epoch: 205, iters: 4, time: 0.167, data: 0.084) G_GAN: 0.346 D_real: 0.237 D_fake: 0.171 G: 0.492 HDCE: 0.144 HDCE_Y: 0.117 SRC: 0.016 
(epoch: 209, iters: 8, time: 0.167, data: 0.139) G_GAN: 0.381 D_real: 0.319 D_fake: 0.202 G: 0.553 HDCE: 0.153 HDCE_Y: 0.164 SRC: 0.013 
(epoch: 213, iters: 12, time: 0.167, data: 0.111) G_GAN: 0.408 D_real: 0.100 D_fake: 0.408 G: 0.611 HDCE: 0.167 HDCE_Y: 0.192 SRC: 0.024 
(epoch: 217, iters: 16, time: 0.167, data: 0.065) G_GAN: 0.578 D_real: 0.145 D_fake: 0.101 G: 0.799 HDCE: 0.187 HDCE_Y: 0.190 SRC: 0.033 
(epoch: 221, iters: 20, time: 0.167, data: 0.075) G_GAN: 0.412 D_real: 0.397 D_fake: 0.138 G: 0.609 HDCE: 0.172 HDCE_Y: 0.169 SRC: 0.026 
(epoch: 225, iters: 24, time: 0.167, data: 0.080) G_GAN: 0.495 D_real: 0.130 D_fake: 0.188 G: 0.712 HDCE: 0.167 HDCE_Y: 0.211 SRC: 0.028 
(epoch: 230, iters: 4, time: 0.167, data: 0.072) G_GAN: 0.418 D_real: 0.229 D_fake: 0.156 G: 0.635 HDCE: 0.192 HDCE_Y: 0.188 SRC: 0.027 
(epoch: 234, iters: 8, time: 0.167, data: 0.090) G_GAN: 0.383 D_real: 0.323 D_fake: 0.276 G: 0.595 HDCE: 0.154 HDCE_Y: 0.222 SRC: 0.024 
(epoch: 238, iters: 12, time: 0.167, data: 0.067) G_GAN: 0.276 D_real: 0.337 D_fake: 0.206 G: 0.480 HDCE: 0.191 HDCE_Y: 0.164 SRC: 0.026 
(epoch: 242, iters: 16, time: 0.167, data: 0.105) G_GAN: 0.365 D_real: 0.046 D_fake: 0.400 G: 0.589 HDCE: 0.174 HDCE_Y: 0.235 SRC: 0.020 
(epoch: 246, iters: 20, time: 0.167, data: 0.076) G_GAN: 0.463 D_real: 0.152 D_fake: 0.173 G: 0.633 HDCE: 0.155 HDCE_Y: 0.137 SRC: 0.024 
(epoch: 250, iters: 24, time: 0.167, data: 0.088) G_GAN: 0.424 D_real: 0.284 D_fake: 0.193 G: 0.650 HDCE: 0.201 HDCE_Y: 0.213 SRC: 0.019 
(epoch: 255, iters: 4, time: 0.167, data: 0.071) G_GAN: 0.549 D_real: 0.136 D_fake: 0.287 G: 0.736 HDCE: 0.173 HDCE_Y: 0.151 SRC: 0.024 
(epoch: 259, iters: 8, time: 0.167, data: 0.108) G_GAN: 0.421 D_real: 0.366 D_fake: 0.095 G: 0.590 HDCE: 0.173 HDCE_Y: 0.121 SRC: 0.023 
(epoch: 263, iters: 12, time: 0.167, data: 0.073) G_GAN: 0.605 D_real: 0.038 D_fake: 0.166 G: 0.807 HDCE: 0.170 HDCE_Y: 0.196 SRC: 0.019 
(epoch: 267, iters: 16, time: 0.167, data: 0.103) G_GAN: 0.453 D_real: 0.421 D_fake: 0.125 G: 0.732 HDCE: 0.244 HDCE_Y: 0.249 SRC: 0.032 
(epoch: 271, iters: 20, time: 0.167, data: 0.118) G_GAN: 0.348 D_real: 0.222 D_fake: 0.278 G: 0.525 HDCE: 0.163 HDCE_Y: 0.155 SRC: 0.018 
(epoch: 275, iters: 24, time: 0.167, data: 0.116) G_GAN: 0.399 D_real: 0.465 D_fake: 0.050 G: 0.577 HDCE: 0.158 HDCE_Y: 0.146 SRC: 0.026 
(epoch: 280, iters: 4, time: 0.167, data: 0.096) G_GAN: 0.499 D_real: 0.153 D_fake: 0.143 G: 0.662 HDCE: 0.139 HDCE_Y: 0.145 SRC: 0.021 
(epoch: 284, iters: 8, time: 0.167, data: 0.125) G_GAN: 0.458 D_real: 0.198 D_fake: 0.177 G: 0.655 HDCE: 0.160 HDCE_Y: 0.180 SRC: 0.027 
(epoch: 288, iters: 12, time: 0.167, data: 0.069) G_GAN: 0.558 D_real: 0.068 D_fake: 0.138 G: 0.762 HDCE: 0.164 HDCE_Y: 0.190 SRC: 0.027 
(epoch: 292, iters: 16, time: 0.167, data: 0.069) G_GAN: 0.415 D_real: 0.289 D_fake: 0.095 G: 0.599 HDCE: 0.138 HDCE_Y: 0.189 SRC: 0.021 
(epoch: 296, iters: 20, time: 0.167, data: 0.107) G_GAN: 0.625 D_real: 0.020 D_fake: 0.141 G: 0.840 HDCE: 0.154 HDCE_Y: 0.232 SRC: 0.021 
(epoch: 300, iters: 24, time: 0.167, data: 0.102) G_GAN: 0.474 D_real: 0.098 D_fake: 0.186 G: 0.706 HDCE: 0.205 HDCE_Y: 0.210 SRC: 0.025 
(epoch: 305, iters: 4, time: 0.167, data: 0.074) G_GAN: 0.630 D_real: 0.317 D_fake: 0.069 G: 0.799 HDCE: 0.168 HDCE_Y: 0.130 SRC: 0.020 
(epoch: 309, iters: 8, time: 0.167, data: 0.093) G_GAN: 0.558 D_real: 0.090 D_fake: 0.112 G: 0.789 HDCE: 0.170 HDCE_Y: 0.229 SRC: 0.031 
(epoch: 313, iters: 12, time: 0.167, data: 0.078) G_GAN: 0.613 D_real: 0.102 D_fake: 0.106 G: 0.770 HDCE: 0.148 HDCE_Y: 0.136 SRC: 0.016 
(epoch: 317, iters: 16, time: 0.167, data: 0.105) G_GAN: 0.411 D_real: 0.240 D_fake: 0.245 G: 0.602 HDCE: 0.157 HDCE_Y: 0.180 SRC: 0.022 
(epoch: 321, iters: 20, time: 0.167, data: 0.104) G_GAN: 0.468 D_real: 0.018 D_fake: 0.321 G: 0.698 HDCE: 0.218 HDCE_Y: 0.202 SRC: 0.019 
(epoch: 325, iters: 24, time: 0.167, data: 0.087) G_GAN: 0.642 D_real: 0.050 D_fake: 0.068 G: 0.830 HDCE: 0.163 HDCE_Y: 0.172 SRC: 0.020 
(epoch: 330, iters: 4, time: 0.167, data: 0.099) G_GAN: 0.458 D_real: 0.601 D_fake: 0.086 G: 0.644 HDCE: 0.150 HDCE_Y: 0.175 SRC: 0.023 
(epoch: 334, iters: 8, time: 0.167, data: 0.065) G_GAN: 0.587 D_real: 0.063 D_fake: 0.131 G: 0.743 HDCE: 0.153 HDCE_Y: 0.126 SRC: 0.016 
(epoch: 338, iters: 12, time: 0.167, data: 0.123) G_GAN: 0.597 D_real: 0.067 D_fake: 0.137 G: 0.837 HDCE: 0.218 HDCE_Y: 0.228 SRC: 0.017 
(epoch: 342, iters: 16, time: 0.167, data: 0.093) G_GAN: 0.633 D_real: 0.115 D_fake: 0.083 G: 0.812 HDCE: 0.142 HDCE_Y: 0.184 SRC: 0.017 
(epoch: 346, iters: 20, time: 0.167, data: 0.106) G_GAN: 0.330 D_real: 0.522 D_fake: 0.226 G: 0.488 HDCE: 0.145 HDCE_Y: 0.129 SRC: 0.020 
(epoch: 350, iters: 24, time: 0.167, data: 0.103) G_GAN: 0.561 D_real: 0.283 D_fake: 0.077 G: 0.732 HDCE: 0.163 HDCE_Y: 0.124 SRC: 0.027 
(epoch: 355, iters: 4, time: 0.167, data: 0.106) G_GAN: 0.622 D_real: 0.144 D_fake: 0.066 G: 0.798 HDCE: 0.158 HDCE_Y: 0.139 SRC: 0.027 
(epoch: 359, iters: 8, time: 0.167, data: 0.105) G_GAN: 0.848 D_real: 0.012 D_fake: 0.035 G: 1.022 HDCE: 0.159 HDCE_Y: 0.152 SRC: 0.019 
(epoch: 363, iters: 12, time: 0.167, data: 0.093) G_GAN: 0.508 D_real: 0.018 D_fake: 0.208 G: 0.706 HDCE: 0.202 HDCE_Y: 0.145 SRC: 0.025 
(epoch: 367, iters: 16, time: 0.167, data: 0.077) G_GAN: 0.532 D_real: 0.262 D_fake: 0.074 G: 0.691 HDCE: 0.156 HDCE_Y: 0.127 SRC: 0.018 
(epoch: 371, iters: 20, time: 0.167, data: 0.120) G_GAN: 0.522 D_real: 0.020 D_fake: 0.127 G: 0.687 HDCE: 0.159 HDCE_Y: 0.127 SRC: 0.023 
(epoch: 375, iters: 24, time: 0.167, data: 0.097) G_GAN: 0.411 D_real: 0.119 D_fake: 0.215 G: 0.610 HDCE: 0.201 HDCE_Y: 0.163 SRC: 0.017 
(epoch: 380, iters: 4, time: 0.167, data: 0.103) G_GAN: 0.357 D_real: 0.044 D_fake: 0.241 G: 0.525 HDCE: 0.170 HDCE_Y: 0.118 SRC: 0.025 
(epoch: 384, iters: 8, time: 0.167, data: 0.105) G_GAN: 0.530 D_real: 0.221 D_fake: 0.100 G: 0.727 HDCE: 0.147 HDCE_Y: 0.203 SRC: 0.022 
(epoch: 388, iters: 12, time: 0.167, data: 0.105) G_GAN: 0.624 D_real: 0.084 D_fake: 0.064 G: 0.786 HDCE: 0.139 HDCE_Y: 0.148 SRC: 0.019 
(epoch: 392, iters: 16, time: 0.167, data: 0.075) G_GAN: 0.599 D_real: 0.187 D_fake: 0.093 G: 0.798 HDCE: 0.170 HDCE_Y: 0.191 SRC: 0.019 
(epoch: 396, iters: 20, time: 0.167, data: 0.108) G_GAN: 0.212 D_real: 0.236 D_fake: 0.342 G: 0.414 HDCE: 0.214 HDCE_Y: 0.154 SRC: 0.019 
(epoch: 400, iters: 24, time: 0.167, data: 0.072) G_GAN: 0.621 D_real: 0.067 D_fake: 0.063 G: 0.812 HDCE: 0.166 HDCE_Y: 0.160 SRC: 0.029 
