================ Training Loss (Sun Oct 16 23:55:39 2022) ================
(epoch: 138, iters: 12, time: 0.183, data: 0.001) G_GAN: 0.300 D_real: 0.409 D_fake: 0.274 G: 1.494 NCE: 1.299 NCE_Y: 1.088 
(epoch: 142, iters: 16, time: 0.183, data: 0.002) G_GAN: 0.417 D_real: 0.252 D_fake: 0.232 G: 1.488 NCE: 1.183 NCE_Y: 0.960 
(epoch: 146, iters: 20, time: 0.183, data: 0.002) G_GAN: 0.558 D_real: 0.122 D_fake: 0.177 G: 1.723 NCE: 1.427 NCE_Y: 0.904 
(epoch: 150, iters: 24, time: 0.183, data: 0.001) G_GAN: 0.356 D_real: 0.300 D_fake: 0.243 G: 1.486 NCE: 1.318 NCE_Y: 0.943 
(epoch: 155, iters: 4, time: 0.183, data: 0.160) G_GAN: 0.653 D_real: 0.208 D_fake: 0.141 G: 1.872 NCE: 1.423 NCE_Y: 1.016 
(epoch: 159, iters: 8, time: 0.183, data: 0.002) G_GAN: 0.494 D_real: 0.289 D_fake: 0.045 G: 1.597 NCE: 1.274 NCE_Y: 0.933 
(epoch: 163, iters: 12, time: 0.183, data: 0.000) G_GAN: 0.565 D_real: 0.145 D_fake: 0.206 G: 1.868 NCE: 1.548 NCE_Y: 1.057 
(epoch: 167, iters: 16, time: 0.184, data: 0.001) G_GAN: 0.476 D_real: 0.358 D_fake: 0.143 G: 1.722 NCE: 1.444 NCE_Y: 1.048 
(epoch: 171, iters: 20, time: 0.183, data: 0.002) G_GAN: 0.282 D_real: 0.337 D_fake: 0.202 G: 1.337 NCE: 1.145 NCE_Y: 0.966 
(epoch: 175, iters: 24, time: 0.183, data: 0.001) G_GAN: 0.384 D_real: 0.246 D_fake: 0.096 G: 1.617 NCE: 1.436 NCE_Y: 1.030 
(epoch: 180, iters: 4, time: 0.183, data: 0.156) G_GAN: 0.382 D_real: 0.120 D_fake: 0.261 G: 1.578 NCE: 1.410 NCE_Y: 0.982 
(epoch: 184, iters: 8, time: 0.183, data: 0.004) G_GAN: 0.767 D_real: 0.757 D_fake: 0.250 G: 1.955 NCE: 1.205 NCE_Y: 1.171 
(epoch: 188, iters: 12, time: 0.183, data: 0.002) G_GAN: 0.494 D_real: 0.182 D_fake: 0.123 G: 1.679 NCE: 1.440 NCE_Y: 0.930 
(epoch: 192, iters: 16, time: 0.183, data: 0.001) G_GAN: 0.492 D_real: 0.136 D_fake: 0.263 G: 1.644 NCE: 1.385 NCE_Y: 0.920 
(epoch: 196, iters: 20, time: 0.184, data: 0.001) G_GAN: 0.386 D_real: 0.343 D_fake: 0.309 G: 1.557 NCE: 1.247 NCE_Y: 1.095 
(epoch: 200, iters: 24, time: 0.184, data: 0.001) G_GAN: 0.565 D_real: 0.200 D_fake: 0.162 G: 1.785 NCE: 1.453 NCE_Y: 0.988 
(epoch: 205, iters: 4, time: 0.183, data: 0.164) G_GAN: 0.465 D_real: 0.255 D_fake: 0.166 G: 1.653 NCE: 1.362 NCE_Y: 1.013 
(epoch: 209, iters: 8, time: 0.183, data: 0.003) G_GAN: 0.308 D_real: 0.316 D_fake: 0.133 G: 1.489 NCE: 1.329 NCE_Y: 1.033 
(epoch: 213, iters: 12, time: 0.183, data: 0.002) G_GAN: 0.304 D_real: 0.055 D_fake: 0.494 G: 1.414 NCE: 1.366 NCE_Y: 0.855 
(epoch: 217, iters: 16, time: 0.183, data: 0.001) G_GAN: 0.302 D_real: 0.233 D_fake: 0.238 G: 1.531 NCE: 1.486 NCE_Y: 0.971 
(epoch: 221, iters: 20, time: 0.183, data: 0.002) G_GAN: 0.510 D_real: 0.140 D_fake: 0.183 G: 1.629 NCE: 1.301 NCE_Y: 0.937 
(epoch: 225, iters: 24, time: 0.183, data: 0.001) G_GAN: 0.350 D_real: 0.124 D_fake: 0.284 G: 1.421 NCE: 1.239 NCE_Y: 0.903 
(epoch: 230, iters: 4, time: 0.184, data: 0.162) G_GAN: 0.718 D_real: 0.040 D_fake: 0.359 G: 1.891 NCE: 1.305 NCE_Y: 1.040 
(epoch: 234, iters: 8, time: 0.184, data: 0.000) G_GAN: 0.541 D_real: 0.090 D_fake: 0.197 G: 1.675 NCE: 1.300 NCE_Y: 0.968 
(epoch: 238, iters: 12, time: 0.184, data: 0.003) G_GAN: 0.670 D_real: 0.106 D_fake: 0.124 G: 1.915 NCE: 1.420 NCE_Y: 1.069 
(epoch: 242, iters: 16, time: 0.183, data: 0.001) G_GAN: 0.499 D_real: 0.133 D_fake: 0.129 G: 1.779 NCE: 1.590 NCE_Y: 0.970 
(epoch: 246, iters: 20, time: 0.183, data: 0.001) G_GAN: 0.517 D_real: 0.172 D_fake: 0.152 G: 1.773 NCE: 1.582 NCE_Y: 0.930 
(epoch: 250, iters: 24, time: 0.183, data: 0.002) G_GAN: 0.445 D_real: 0.244 D_fake: 0.098 G: 1.700 NCE: 1.446 NCE_Y: 1.063 
(epoch: 255, iters: 4, time: 0.183, data: 0.173) G_GAN: 0.475 D_real: 0.122 D_fake: 0.187 G: 1.568 NCE: 1.255 NCE_Y: 0.931 
(epoch: 259, iters: 8, time: 0.183, data: 0.004) G_GAN: 0.518 D_real: 0.056 D_fake: 0.345 G: 1.735 NCE: 1.516 NCE_Y: 0.918 
(epoch: 263, iters: 12, time: 0.183, data: 0.002) G_GAN: 0.631 D_real: 0.080 D_fake: 0.160 G: 1.858 NCE: 1.473 NCE_Y: 0.981 
(epoch: 267, iters: 16, time: 0.183, data: 0.001) G_GAN: 0.401 D_real: 0.372 D_fake: 0.090 G: 1.531 NCE: 1.361 NCE_Y: 0.898 
(epoch: 271, iters: 20, time: 0.183, data: 0.002) G_GAN: 0.334 D_real: 0.220 D_fake: 0.276 G: 1.639 NCE: 1.586 NCE_Y: 1.023 
(epoch: 275, iters: 24, time: 0.183, data: 0.001) G_GAN: 0.558 D_real: 0.128 D_fake: 0.123 G: 1.639 NCE: 1.265 NCE_Y: 0.897 
(epoch: 280, iters: 4, time: 0.183, data: 0.162) G_GAN: 0.382 D_real: 0.135 D_fake: 0.238 G: 1.528 NCE: 1.469 NCE_Y: 0.823 
(epoch: 284, iters: 8, time: 0.183, data: 0.001) G_GAN: 0.593 D_real: 0.150 D_fake: 0.138 G: 1.704 NCE: 1.287 NCE_Y: 0.935 
(epoch: 288, iters: 12, time: 0.183, data: 0.002) G_GAN: 0.853 D_real: 0.126 D_fake: 0.052 G: 2.070 NCE: 1.433 NCE_Y: 1.001 
(epoch: 292, iters: 16, time: 0.183, data: 0.001) G_GAN: 0.444 D_real: 0.086 D_fake: 0.309 G: 1.578 NCE: 1.391 NCE_Y: 0.877 
(epoch: 296, iters: 20, time: 0.183, data: 0.001) G_GAN: 0.449 D_real: 0.126 D_fake: 0.232 G: 1.534 NCE: 1.327 NCE_Y: 0.843 
(epoch: 300, iters: 24, time: 0.183, data: 0.001) G_GAN: 0.898 D_real: 0.037 D_fake: 0.263 G: 2.043 NCE: 1.316 NCE_Y: 0.974 
(epoch: 305, iters: 4, time: 0.183, data: 0.168) G_GAN: 0.452 D_real: 0.188 D_fake: 0.180 G: 1.568 NCE: 1.360 NCE_Y: 0.873 
(epoch: 309, iters: 8, time: 0.183, data: 0.001) G_GAN: 0.740 D_real: 0.191 D_fake: 0.059 G: 1.796 NCE: 1.213 NCE_Y: 0.898 
(epoch: 313, iters: 12, time: 0.183, data: 0.001) G_GAN: 0.607 D_real: 0.149 D_fake: 0.106 G: 1.953 NCE: 1.669 NCE_Y: 1.021 
(epoch: 317, iters: 16, time: 0.183, data: 0.001) G_GAN: 0.577 D_real: 0.039 D_fake: 0.218 G: 1.700 NCE: 1.336 NCE_Y: 0.911 
(epoch: 321, iters: 20, time: 0.183, data: 0.002) G_GAN: 0.587 D_real: 0.399 D_fake: 0.152 G: 1.768 NCE: 1.447 NCE_Y: 0.915 
(epoch: 325, iters: 24, time: 0.183, data: 0.001) G_GAN: 0.612 D_real: 0.393 D_fake: 0.079 G: 1.830 NCE: 1.525 NCE_Y: 0.912 
(epoch: 330, iters: 4, time: 0.183, data: 0.161) G_GAN: 0.567 D_real: 0.104 D_fake: 0.123 G: 1.649 NCE: 1.274 NCE_Y: 0.890 
(epoch: 334, iters: 8, time: 0.183, data: 0.004) G_GAN: 0.551 D_real: 0.233 D_fake: 0.110 G: 1.754 NCE: 1.423 NCE_Y: 0.983 
(epoch: 338, iters: 12, time: 0.183, data: 0.001) G_GAN: 0.484 D_real: 0.302 D_fake: 0.131 G: 1.620 NCE: 1.403 NCE_Y: 0.869 
(epoch: 342, iters: 16, time: 0.183, data: 0.002) G_GAN: 0.416 D_real: 0.071 D_fake: 0.213 G: 1.525 NCE: 1.380 NCE_Y: 0.838 
(epoch: 346, iters: 20, time: 0.183, data: 0.001) G_GAN: 0.590 D_real: 0.223 D_fake: 0.082 G: 1.776 NCE: 1.559 NCE_Y: 0.813 
(epoch: 350, iters: 24, time: 0.183, data: 0.001) G_GAN: 0.366 D_real: 0.157 D_fake: 0.241 G: 1.483 NCE: 1.429 NCE_Y: 0.805 
(epoch: 355, iters: 4, time: 0.183, data: 0.163) G_GAN: 0.580 D_real: 0.109 D_fake: 0.129 G: 1.691 NCE: 1.383 NCE_Y: 0.838 
(epoch: 359, iters: 8, time: 0.183, data: 0.003) G_GAN: 0.724 D_real: 0.046 D_fake: 0.077 G: 1.882 NCE: 1.509 NCE_Y: 0.808 
(epoch: 363, iters: 12, time: 0.184, data: 0.000) G_GAN: 0.462 D_real: 0.053 D_fake: 0.170 G: 1.603 NCE: 1.394 NCE_Y: 0.888 
(epoch: 367, iters: 16, time: 0.183, data: 0.001) G_GAN: 0.656 D_real: 0.097 D_fake: 0.068 G: 1.739 NCE: 1.282 NCE_Y: 0.885 
(epoch: 371, iters: 20, time: 0.183, data: 0.002) G_GAN: 0.562 D_real: 0.032 D_fake: 0.126 G: 1.726 NCE: 1.394 NCE_Y: 0.934 
(epoch: 375, iters: 24, time: 0.184, data: 0.001) G_GAN: 0.536 D_real: 0.367 D_fake: 0.082 G: 1.650 NCE: 1.430 NCE_Y: 0.797 
(epoch: 380, iters: 4, time: 0.184, data: 0.165) G_GAN: 0.727 D_real: 0.074 D_fake: 0.047 G: 1.775 NCE: 1.331 NCE_Y: 0.765 
(epoch: 384, iters: 8, time: 0.183, data: 0.003) G_GAN: 0.364 D_real: 0.306 D_fake: 0.200 G: 1.574 NCE: 1.530 NCE_Y: 0.890 
(epoch: 388, iters: 12, time: 0.183, data: 0.003) G_GAN: 0.395 D_real: 0.048 D_fake: 0.192 G: 1.500 NCE: 1.443 NCE_Y: 0.769 
(epoch: 392, iters: 16, time: 0.183, data: 0.001) G_GAN: 0.467 D_real: 0.380 D_fake: 0.136 G: 1.529 NCE: 1.390 NCE_Y: 0.733 
(epoch: 396, iters: 20, time: 0.183, data: 0.001) G_GAN: 0.316 D_real: 0.009 D_fake: 0.230 G: 1.485 NCE: 1.486 NCE_Y: 0.852 
(epoch: 400, iters: 24, time: 0.184, data: 0.001) G_GAN: 0.368 D_real: 0.051 D_fake: 0.178 G: 1.474 NCE: 1.393 NCE_Y: 0.819 
